,序號,券商,價格,買進股數,賣出股數
73,147,1041臺銀鳳山,569.0,0,4000
73,148,1041臺銀鳳山,570.0,0,1000
74,149,1041臺銀鳳山,571.0,1000,0
74,150,1041臺銀鳳山,572.0,1000,0
75,151,1042臺銀臺南,560.0,5020,0
75,152,1042臺銀臺南,561.0,35,0
76,153,1042臺銀臺南,562.0,35,1000
76,154,1042臺銀臺南,563.0,160,1000
77,155,1042臺銀臺南,564.0,50,2000
77,156,1042臺銀臺南,565.0,15,1020
78,157,1042臺銀臺南,566.0,120,2000
78,158,1042臺銀臺南,568.0,100,0
79,159,1042臺銀臺南,572.0,1000,1000
79,160,1043臺銀民權,558.0,0,1000
80,161,1043臺銀民權,559.0,1000,0
80,162,1043臺銀民權,560.0,2100,1000
81,163,1043臺銀民權,561.0,4050,300
81,164,1043臺銀民權,562.0,2420,1000
82,165,1043臺銀民權,563.0,5070,1450
82,166,1043臺銀民權,564.0,1020,270
83,167,1043臺銀民權,565.0,1200,3200
83,168,1043臺銀民權,566.0,1100,0
84,169,1043臺銀民權,567.0,4000,0
84,170,1043臺銀民權,568.0,7080,1050
85,171,1043臺銀民權,570.0,1000,1000
85,172,1045臺銀新竹,560.0,2150,2040
86,173,1045臺銀新竹,561.0,3000,52
86,174,1045臺銀新竹,562.0,5000,0
87,175,1045臺銀新竹,563.0,1600,1000
87,176,1045臺銀新竹,564.0,67,1000
88,177,1045臺銀新竹,565.0,1010,40
88,178,1045臺銀新竹,566.0,1100,0
89,179,1045臺銀新竹,567.0,1000,100
89,180,1045臺銀新竹,568.0,3010,0
90,181,1045臺銀新竹,569.0,0,1000
90,182,104A臺銀臺中,558.0,3000,0
91,183,104A臺銀臺中,559.0,1000,0
91,184,104A臺銀臺中,560.0,9110,1000
92,185,104A臺銀臺中,561.0,7100,0
92,186,104A臺銀臺中,562.0,3000,2000
93,187,104A臺銀臺中,563.0,3020,2000
93,188,104A臺銀臺中,564.0,0,4100
94,189,104A臺銀臺中,565.0,1131,1016
94,190,104A臺銀臺中,566.0,200,1000
95,191,104A臺銀臺中,568.0,200,0
95,192,104A臺銀臺中,570.0,1200,0
96,193,104A臺銀臺中,571.0,2000,150
96,194,104A臺銀臺中,572.0,4000,0
97,195,104A臺銀臺中,574.0,0,1000
97,196,104C臺銀高雄,558.0,1000,0
98,197,104C臺銀高雄,559.0,1000,1000
98,198,104C臺銀高雄,560.0,2000,2000
99,199,104C臺銀高雄,561.0,2100,0
99,200,104C臺銀高雄,562.0,4000,0
100,201,104C臺銀高雄,563.0,3100,0
100,202,104C臺銀高雄,564.0,4010,2000
101,203,104C臺銀高雄,565.0,1130,0
101,204,104C臺銀高雄,566.0,1000,1000
102,205,104C臺銀高雄,567.0,0,2000
102,206,104C臺銀高雄,570.0,1000,0
103,207,104C臺銀高雄,573.0,0,1000
103,208,104D臺銀金山,558.0,1000,0
104,209,104D臺銀金山,560.0,0,3000
104,210,104D臺銀金山,561.0,350,0
105,211,104D臺銀金山,562.0,2006,1000
105,212,104D臺銀金山,563.0,1100,80
106,213,104D臺銀金山,564.0,0,1150
106,214,104D臺銀金山,565.0,4,1010
107,215,104D臺銀金山,566.0,35,0
107,216,104D臺銀金山,570.0,1000,0
108,217,1110企    銀,560.0,3000,2000
108,218,1110企    銀,561.0,0,19
109,219,1110企    銀,562.0,100,0
109,220,1110企    銀,563.0,100,0
110,221,1111企銀台中,560.0,80,11000
110,222,1111企銀台中,562.0,4000,0
111,223,1111企銀台中,564.0,0,3000
111,224,1111企銀台中,571.0,0,45
112,225,1111企銀台中,572.0,0,1000
112,226,1112企銀台南,563.0,0,1000
113,227,1113企銀九如,563.0,2000,0
113,228,1114企銀嘉義,561.0,1000,0
114,229,1114企銀嘉義,564.0,200,0
114,230,1115企銀太平,561.0,50,15000
115,231,1116企銀屏東,559.0,1000,0
115,232,1116企銀屏東,563.0,1000,1000
116,233,1117企銀竹北,561.0,1000,1000
116,234,1117企銀竹北,562.0,1000,0
117,235,1117企銀竹北,565.0,100,0
117,236,1118企銀豐原,561.0,0,1000
118,237,1118企銀豐原,563.0,1000,0
118,238,1119企銀岡山,563.0,100,2000
119,239,111A企銀民雄,561.0,1000,0
119,240,111A企銀民雄,564.0,1000,0
120,241,111B台企建成,565.0,1100,0
120,242,111B台企建成,568.0,0,1000
121,243,111E企銀桃園,560.0,1000,0
121,244,111E企銀桃園,561.0,100,0
122,245,111E企銀桃園,562.0,1000,1000
122,246,111E企銀桃園,563.0,1000,0
123,247,111E企銀桃園,565.0,0,1000
123,248,111E企銀桃園,568.0,69,0
124,249,111E企銀桃園,569.0,0,1000
124,250,111E企銀桃園,572.0,1000,0
125,251,111G企銀埔墘,560.0,1000,0
125,252,111G企銀埔墘,565.0,1000,0
126,253,1160日    盛,558.0,1000,2000
126,254,1160日    盛,559.0,0,2000
127,255,1160日    盛,560.0,8000,6000
127,256,1160日    盛,561.0,1043,2000
128,257,1160日    盛,562.0,4100,3000
128,258,1160日    盛,563.0,1100,4025
129,259,1160日    盛,564.0,3000,2000
129,260,1160日    盛,565.0,1000,0
130,261,1160日    盛,566.0,4000,0
130,262,1160日    盛,568.0,2000,0
131,263,1160日    盛,569.0,0,1000
131,264,1160日    盛,570.0,3000,0
132,265,1160日    盛,573.0,1050,0
132,266,1161日盛忠孝,557.0,0,1000
133,267,1161日盛忠孝,560.0,1000,1000
133,268,1161日盛忠孝,561.0,2000,1000
134,269,1161日盛忠孝,562.0,1000,0
134,270,1161日盛忠孝,563.0,1300,0
135,271,1161日盛忠孝,564.0,4052,1000
135,272,1161日盛忠孝,566.0,50,0
136,273,1161日盛忠孝,568.0,1000,0
136,274,1161日盛忠孝,573.0,1000,0
137,275,1162日盛台南,559.0,0,1000
137,276,1162日盛台南,560.0,58000,36000
138,277,1162日盛台南,561.0,0,29010
138,278,1162日盛台南,562.0,3000,36000
139,279,1162日盛台南,563.0,0,25000
139,280,1162日盛台南,564.0,1200,1000
140,281,1162日盛台南,565.0,4000,4000
140,282,1162日盛台南,566.0,100,1000
141,283,1162日盛台南,567.0,0,1000
141,284,1162日盛台南,568.0,2050,0
142,285,1162日盛台南,570.0,0,2000
142,286,1162日盛台南,571.0,0,1000
143,287,1163日盛台中,558.0,2000,0
143,288,1163日盛台中,559.0,2000,0
144,289,1163日盛台中,560.0,4100,6000
144,290,1163日盛台中,561.0,3000,0
145,291,1163日盛台中,562.0,4000,0
145,292,1163日盛台中,563.0,2000,0
146,293,1163日盛台中,564.0,2150,0
146,294,1163日盛台中,565.0,1000,1100
147,295,1163日盛台中,566.0,1030,0
147,296,1163日盛台中,569.0,10,0
148,297,1164日盛內湖,560.0,2000,1100
148,298,1164日盛內湖,561.0,2000,50
149,299,1164日盛內湖,562.0,1000,1000
149,300,1164日盛內湖,563.0,105,0
150,301,1164日盛內湖,573.0,100,0
150,302,1165日盛板橋,559.0,2000,0
151,303,1165日盛板橋,560.0,3000,0
151,304,1165日盛板橋,561.0,4000,0
152,305,1165日盛板橋,562.0,3000,0
152,306,1165日盛板橋,563.0,5000,0
153,307,1165日盛板橋,564.0,1200,2000
153,308,1165日盛板橋,565.0,7200,2000
154,309,1165日盛板橋,566.0,0,25
154,310,1165日盛板橋,567.0,3000,0
155,311,1165日盛板橋,569.0,0,1000
155,312,1165日盛板橋,571.0,0,2000
156,313,1165日盛板橋,572.0,0,1000
156,314,1165日盛板橋,573.0,0,1000
157,315,1166日盛雙和,560.0,4000,2000
157,316,1166日盛雙和,561.0,100,0
158,317,1166日盛雙和,562.0,30,0
158,318,1166日盛雙和,563.0,1050,0
159,319,1166日盛雙和,564.0,2000,0
