,序號,券商,價格,買進股數,賣出股數
651,1303,5928元富新莊,562.0,100,1000
651,1304,5928元富新莊,563.0,0,2000
652,1305,5929元富台南,560.0,1000,0
652,1306,5929元富台南,562.0,1000,0
653,1307,5929元富台南,563.0,100,0
653,1308,5929元富台南,564.0,20,1000
654,1309,5929元富台南,565.0,1000,0
654,1310,5929元富台南,566.0,0,15
655,1311,5929元富台南,568.0,1010,0
655,1312,592a元富松德,558.0,1000,0
656,1313,592a元富松德,559.0,1000,0
656,1314,592a元富松德,560.0,1000,0
657,1315,592a元富松德,561.0,0,1000
657,1316,592a元富松德,562.0,3000,1010
658,1317,592a元富松德,563.0,1000,3000
658,1318,592a元富松德,564.0,2000,0
659,1319,592a元富松德,565.0,1150,1000
659,1320,592a元富松德,566.0,0,1000
660,1321,592a元富松德,567.0,0,2000
660,1322,592a元富松德,568.0,0,1000
661,1323,592a元富松德,569.0,1000,0
661,1324,592a元富松德,571.0,1000,1000
662,1325,592a元富松德,572.0,1000,0
662,1326,592a元富松德,573.0,2000,0
663,1327,592a元富松德,574.0,0,1000
663,1328,592A元富緯城,560.0,2000,0
664,1329,592A元富緯城,561.0,2000,0
664,1330,592A元富緯城,563.0,2020,1000
665,1331,592A元富緯城,565.0,1000,1000
665,1332,592A元富緯城,566.0,10,0
666,1333,592A元富緯城,568.0,1000,0
666,1334,592A元富緯城,570.0,1000,0
667,1335,592b元富板橋,560.0,10,0
667,1336,592b元富板橋,561.0,1018,100
668,1337,592b元富板橋,562.0,1100,1000
668,1338,592b元富板橋,563.0,0,1000
669,1339,592b元富板橋,564.0,0,2000
669,1340,592b元富板橋,565.0,0,1000
670,1341,592b元富板橋,573.0,3000,0
670,1342,592B元富永和,560.0,100,0
671,1343,592B元富永和,563.0,1000,0
671,1344,592B元富永和,565.0,1000,0
672,1345,592B元富永和,566.0,1000,0
672,1346,592B元富永和,570.0,1000,0
673,1347,592B元富永和,573.0,1000,1000
673,1348,592c元富烏日,560.0,1010,0
674,1349,592c元富烏日,562.0,2000,0
674,1350,592c元富烏日,565.0,20,0
675,1351,592C元富潮洲,562.0,1000,0
675,1352,592C元富潮洲,564.0,0,1000
676,1353,592C元富潮洲,565.0,1000,1000
676,1354,592d元富延平,557.0,1000,0
677,1355,592d元富延平,560.0,2000,0
677,1356,592d元富延平,561.0,0,2000
678,1357,592d元富延平,562.0,0,1000
678,1358,592d元富延平,567.0,0,1000
679,1359,592d元富延平,572.0,0,1000
679,1360,592D元富大昌,559.0,2000,0
680,1361,592D元富大昌,560.0,2100,1000
680,1362,592D元富大昌,561.0,100,0
681,1363,592D元富大昌,562.0,2000,1000
681,1364,592D元富大昌,563.0,2030,1000
682,1365,592D元富大昌,564.0,2100,2000
682,1366,592D元富大昌,565.0,1000,1150
683,1367,592D元富大昌,566.0,2000,0
683,1368,592D元富大昌,568.0,1000,0
684,1369,592D元富大昌,569.0,1000,0
684,1370,592D元富大昌,571.0,0,1100
685,1371,592D元富大昌,573.0,0,2000
685,1372,592e元富古亭,558.0,0,1000
686,1373,592e元富古亭,560.0,2000,3000
686,1374,592e元富古亭,561.0,3010,0
687,1375,592e元富古亭,562.0,3000,5000
687,1376,592e元富古亭,563.0,2000,1000
688,1377,592e元富古亭,564.0,4000,0
688,1378,592e元富古亭,565.0,0,2010
689,1379,592E元富城中,561.0,1000,0
689,1380,592E元富城中,562.0,1000,0
690,1381,592g元富中原,562.0,0,5
690,1382,592g元富中原,563.0,0,1000
691,1383,592g元富中原,565.0,0,27
691,1384,592g元富中原,566.0,0,5
692,1385,592g元富中原,571.0,0,5
692,1386,592g元富中原,572.0,1000,0
693,1387,592g元富中原,573.0,1000,5
693,1388,592G元富新竹,558.0,3000,0
694,1389,592G元富新竹,560.0,2000,0
694,1390,592G元富新竹,562.0,40,0
695,1391,592G元富新竹,563.0,1000,0
695,1392,592G元富新竹,564.0,50,0
696,1393,592G元富新竹,565.0,0,1050
696,1394,592G元富新竹,566.0,1000,0
697,1395,592H元富信義,560.0,3000,0
697,1396,592H元富信義,561.0,1000,100
698,1397,592H元富信義,563.0,1000,0
698,1398,592i元富中港,560.0,1000,0
699,1399,592i元富中港,561.0,3,0
699,1400,592i元富中港,563.0,0,1000
700,1401,592i元富中港,565.0,1000,0
700,1402,592I元富嘉義,560.0,1000,0
701,1403,592I元富嘉義,561.0,4020,1000
701,1404,592I元富嘉義,563.0,1030,2000
702,1405,592I元富嘉義,564.0,1000,1000
702,1406,592I元富嘉義,566.0,100,0
703,1407,592I元富嘉義,569.0,0,1000
703,1408,592I元富嘉義,572.0,0,2000
704,1409,592l元富大裕,560.0,2100,1000
704,1410,592l元富大裕,562.0,0,1000
705,1411,592l元富大裕,563.0,15,0
705,1412,592l元富大裕,564.0,0,1100
706,1413,592l元富大裕,565.0,150,0
706,1414,592l元富大裕,566.0,1000,0
707,1415,592l元富大裕,567.0,0,450
707,1416,592l元富大裕,570.0,0,1000
708,1417,592l元富大裕,571.0,0,1000
708,1418,592L元富中壢,560.0,2000,0
709,1419,592L元富中壢,562.0,1030,0
709,1420,592L元富中壢,563.0,1000,0
710,1421,592L元富中壢,565.0,0,1000
710,1422,592L元富中壢,567.0,0,1000
711,1423,592L元富中壢,568.0,1000,0
711,1424,592L元富中壢,569.0,1000,0
712,1425,592m元富成功,560.0,3000,0
712,1426,592m元富成功,561.0,4000,0
713,1427,592m元富成功,563.0,2011,0
713,1428,592m元富成功,564.0,209,0
714,1429,592m元富成功,566.0,1000,0
714,1430,592m元富成功,569.0,0,2000
715,1431,592m元富成功,572.0,0,2000
715,1432,592M元富彰化,560.0,100,0
716,1433,592M元富彰化,561.0,1000,0
716,1434,592M元富彰化,565.0,1,1700
717,1435,592M元富彰化,568.0,160,0
717,1436,592n元富西松,560.0,2000,0
718,1437,592n元富西松,561.0,125,0
718,1438,592n元富西松,564.0,1000,0
719,1439,592n元富西松,565.0,25,0
719,1440,592n元富西松,566.0,0,1000
720,1441,592n元富西松,567.0,0,1000
720,1442,592N元富虎尾,560.0,2000,0
721,1443,592N元富虎尾,561.0,0,1000
721,1444,592N元富虎尾,563.0,1000,0
722,1445,592N元富虎尾,564.0,0,1000
722,1446,592N元富虎尾,565.0,90,0
723,1447,592N元富虎尾,573.0,1000,1000
723,1448,592o元富新興,558.0,1000,0
724,1449,592o元富新興,560.0,15000,0
724,1450,592o元富新興,562.0,2,7000
725,1451,592o元富新興,563.0,0,8000
725,1452,592o元富新興,564.0,6000,2050
726,1453,592o元富新興,565.0,6000,0
726,1454,592o元富新興,566.0,50,6000
727,1455,592o元富新興,569.0,4000,0
727,1456,592o元富新興,570.0,0,1000
728,1457,592P元富同大,560.0,1000,2000
728,1458,592P元富同大,561.0,1025,0
729,1459,592P元富同大,563.0,1100,0
729,1460,592P元富同大,564.0,0,1000
730,1461,592P元富同大,565.0,45,0
730,1462,592P元富同大,567.0,1000,0
731,1463,592P元富同大,570.0,25,0
731,1464,592P元富同大,571.0,0,1000
732,1465,592q元富屏東,560.0,2,0
732,1466,592q元富屏東,561.0,1039,0
733,1467,592q元富屏東,564.0,1000,216
733,1468,592q元富屏東,565.0,100,212
734,1469,592q元富屏東,566.0,0,215
734,1470,592Q元富敦南,558.0,0,2000
735,1471,592Q元富敦南,560.0,60,0
735,1472,592Q元富敦南,561.0,1000,0
736,1473,592Q元富敦南,562.0,2000,0
736,1474,592Q元富敦南,564.0,20,0
737,1475,592Q元富敦南,565.0,2,0
737,1476,592Q元富敦南,566.0,1000,0
738,1477,592Q元富敦南,568.0,0,1000
738,1478,592Q元富敦南,569.0,1000,0
739,1479,592r元富城東,558.0,2000,0
739,1480,592r元富城東,560.0,3000,1000
740,1481,592r元富城東,561.0,1000,6000
740,1482,592r元富城東,562.0,2000,0
741,1483,592r元富城東,563.0,0,1000
741,1484,592r元富城東,564.0,1000,1000
742,1485,592r元富城東,565.0,2010,250
742,1486,592r元富城東,566.0,1000,1000
743,1487,592r元富城東,568.0,0,2000
743,1488,592r元富城東,569.0,15,0
744,1489,592r元富城東,570.0,0,1000
744,1490,592u元富世貿,558.0,2000,0
745,1491,592u元富世貿,560.0,3010,0
745,1492,592u元富世貿,561.0,1020,0
746,1493,592u元富世貿,563.0,0,2000
746,1494,592u元富世貿,564.0,60,2000
747,1495,592u元富世貿,565.0,5,1000
747,1496,592u元富世貿,566.0,1000,0
748,1497,592u元富世貿,567.0,1000,0
748,1498,592u元富世貿,568.0,0,2004
749,1499,592u元富世貿,569.0,0,26
749,1500,592u元富世貿,570.0,2000,20
750,1501,592u元富世貿,572.0,1000,0
750,1502,592U元富宜蘭,560.0,100,0
751,1503,592U元富宜蘭,562.0,1050,0
751,1504,592U元富宜蘭,564.0,0,1000
752,1505,592U元富宜蘭,569.0,1000,0
752,1506,592v元富桃園,560.0,500,0
753,1507,592v元富桃園,561.0,1010,0
753,1508,592v元富桃園,564.0,0,8010
754,1509,592v元富桃園,565.0,8030,100
754,1510,592V元富民權,560.0,10,0
755,1511,592V元富民權,561.0,200,0
755,1512,592V元富民權,563.0,1010,0
756,1513,592V元富民權,564.0,1000,0
756,1514,592V元富民權,565.0,1000,0
757,1515,592w元富佳里,562.0,0,5000
757,1516,592w元富佳里,567.0,1000,0
758,1517,592W元富吉利,558.0,0,1000
758,1518,592W元富吉利,559.0,4000,1000
759,1519,592W元富吉利,560.0,1050,0
759,1520,592W元富吉利,561.0,8,0
760,1521,592W元富吉利,562.0,15,0
760,1522,592W元富吉利,563.0,100,0
761,1523,592W元富吉利,565.0,100,1000
761,1524,592W元富吉利,569.0,0,1000
762,1525,592W元富吉利,573.0,1000,0
762,1526,592X元富草屯,560.0,1000,3000
763,1527,592X元富草屯,561.0,1000,5
763,1528,592X元富草屯,562.0,2000,0
764,1529,592X元富草屯,563.0,0,1000
764,1530,592X元富草屯,565.0,0,10
765,1531,592X元富草屯,566.0,1000,0
765,1532,592y元富花蓮,558.0,1000,0
766,1533,592y元富花蓮,562.0,1000,0
766,1534,592y元富花蓮,563.0,1000,0
767,1535,592y元富花蓮,564.0,0,50
767,1536,592y元富花蓮,570.0,0,1000
768,1537,592y元富花蓮,571.0,1000,0
768,1538,592y元富花蓮,573.0,0,1000
769,1539,592Y元富埔里,560.0,1000,0
769,1540,592Y元富埔里,563.0,1000,0
770,1541,592z元富文心,558.0,1000,0
770,1542,592z元富文心,559.0,1000,0
771,1543,592z元富文心,560.0,2020,0
771,1544,592z元富文心,562.0,2000,0
772,1545,592z元富文心,563.0,20,1000
772,1546,592z元富文心,564.0,0,1000
773,1547,592z元富文心,565.0,0,1050
773,1548,592z元富文心,570.0,15000,0
774,1549,592z元富文心,571.0,12000,1000
774,1550,592z元富文心,573.0,0,20
775,1551,592Z元富安南,561.0,1000,2030
775,1552,592Z元富安南,563.0,1000,0
776,1553,5960日    茂,560.0,2000,0
776,1554,5960日    茂,564.0,0,1000
777,1555,5961日茂埔里,561.0,1000,0
777,1556,5961日茂埔里,562.0,1000,0
778,1557,5961日茂埔里,563.0,2000,2000
778,1558,5961日茂埔里,564.0,1000,0
779,1559,5961日茂埔里,565.0,0,2000
779,1560,5961日茂埔里,566.0,1000,0
780,1561,5962日茂南投,558.0,1000,0
780,1562,6010★    亞,560.0,1000,0
781,1563,6010★    亞,562.0,2000,0
781,1564,6010★    亞,569.0,0,1000
782,1565,6010★    亞,574.0,2000,0
782,1566,6012★亞網路,559.0,1000,0
783,1567,6012★亞網路,560.0,1030,0
783,1568,6012★亞網路,561.0,50,0
784,1569,6012★亞網路,562.0,1000,1000
784,1570,6012★亞網路,563.0,30,2000
785,1571,6012★亞網路,564.0,0,1000
785,1572,6012★亞網路,565.0,0,1000
786,1573,6012★亞網路,566.0,0,1000
786,1574,6012★亞網路,573.0,0,100
787,1575,601d亞鑫豐,559.0,0,2000
787,1576,601d亞鑫豐,560.0,15020,200
788,1577,601d亞鑫豐,561.0,3002,9
788,1578,601d亞鑫豐,562.0,50,0
789,1579,601d亞鑫豐,563.0,14000,1048
789,1580,601d亞鑫豐,564.0,3050,1000
790,1581,601d亞鑫豐,565.0,10010,0
790,1582,601d亞鑫豐,566.0,10,0
791,1583,601d亞鑫豐,567.0,1000,0
791,1584,601d亞鑫豐,568.0,20,0
792,1585,601d亞鑫豐,573.0,1000,2000
792,1586,6110台中銀,560.0,6000,0
793,1587,6110台中銀,561.0,3000,0
793,1588,6110台中銀,562.0,50,0
794,1589,6110台中銀,563.0,1000,0
794,1590,6110台中銀,564.0,3000,0
795,1591,6110台中銀,565.0,2000,0
795,1592,6110台中銀,566.0,1000,0
796,1593,6110台中銀,568.0,1000,40
796,1594,6110台中銀,571.0,0,2000
797,1595,6114中銀員林,560.0,2000,0
797,1596,6114中銀員林,561.0,3100,0
798,1597,6114中銀員林,562.0,4000,0
798,1598,6114中銀員林,563.0,2000,0
799,1599,6114中銀員林,565.0,0,1000
799,1600,6114中銀員林,566.0,10,0
800,1601,6114中銀員林,567.0,1000,1000
800,1602,6114中銀員林,568.0,100,30
801,1603,6115中銀台北,561.0,0,1000
801,1604,6115中銀台北,566.0,1000,0
802,1605,611A中銀豐原,560.0,1000,0
802,1606,611A中銀豐原,563.0,120,1000
803,1607,611A中銀豐原,568.0,200,0
803,1608,6160中國信託,558.0,1000,2000
804,1609,6160中國信託,559.0,1000,0
804,1610,6160中國信託,560.0,35,4004
805,1611,6160中國信託,561.0,12000,19000
805,1612,6160中國信託,562.0,210,2000
806,1613,6160中國信託,563.0,200,1000
806,1614,6160中國信託,564.0,130,3000
807,1615,6160中國信託,565.0,3029,10050
807,1616,6160中國信託,566.0,5100,170
808,1617,6160中國信託,567.0,2000,1000
808,1618,6160中國信託,568.0,2000,0
809,1619,6160中國信託,569.0,2000,0
809,1620,6160中國信託,571.0,300,0
810,1621,6160中國信託,572.0,3000,0
810,1622,6161中信三重,560.0,6050,3000
811,1623,6161中信三重,561.0,1000,0
811,1624,6161中信三重,562.0,2000,0
812,1625,6161中信三重,563.0,1000,0
812,1626,6161中信三重,564.0,50,0
813,1627,6161中信三重,565.0,50,0
813,1628,6161中信三重,567.0,1000,30
814,1629,6161中信三重,568.0,10,0
814,1630,6161中信三重,573.0,0,1000
815,1631,6162中信託忠,558.0,2000,0
815,1632,6162中信託忠,560.0,23000,12000
816,1633,6162中信託忠,561.0,6100,1000
816,1634,6162中信託忠,562.0,1000,1000
817,1635,6162中信託忠,563.0,11000,200
817,1636,6162中信託忠,565.0,1090,1000
818,1637,6162中信託忠,567.0,0,1100
818,1638,6162中信託忠,572.0,0,2000
819,1639,6162中信託忠,573.0,0,30
819,1640,6163中信託永,560.0,1015,0
820,1641,6163中信託永,561.0,4000,0
820,1642,6163中信託永,562.0,200,1000
821,1643,6163中信託永,563.0,20,410
821,1644,6163中信託永,564.0,280,0
822,1645,6163中信託永,565.0,230,4050
822,1646,6163中信託永,566.0,0,50
823,1647,6163中信託永,569.0,110,1000
823,1648,6163中信託永,572.0,2000,0
824,1649,6163中信託永,573.0,200,0
824,1650,6164中信託文,558.0,1000,0
825,1651,6164中信託文,560.0,2050,2000
825,1652,6164中信託文,561.0,1200,1000
826,1653,6164中信託文,562.0,100,17250
826,1654,6164中信託文,563.0,2160,0
827,1655,6164中信託文,564.0,6010,1082
827,1656,6164中信託文,565.0,275,0
828,1657,6164中信託文,566.0,1000,0
828,1658,6164中信託文,567.0,10000,0
829,1659,6164中信託文,569.0,1000,3000
829,1660,6164中信託文,570.0,2000,1000
830,1661,6164中信託文,571.0,110,0
830,1662,6164中信託文,573.0,250,1000
831,1663,6165中信託新,558.0,0,2000
831,1664,6165中信託新,559.0,1000,0
832,1665,6165中信託新,560.0,4100,3000
832,1666,6165中信託新,561.0,1060,0
833,1667,6165中信託新,562.0,1500,2000
833,1668,6165中信託新,563.0,7000,4000
834,1669,6165中信託新,564.0,2050,1000
834,1670,6165中信託新,565.0,1200,90
835,1671,6165中信託新,566.0,1100,1080
835,1672,6165中信託新,567.0,2000,100
836,1673,6165中信託新,569.0,0,1000
836,1674,6165中信託新,570.0,1000,0
837,1675,6165中信託新,574.0,0,1000
837,1676,6167中信松江,560.0,2000,2000
838,1677,6167中信松江,562.0,0,2000
838,1678,6167中信松江,563.0,50,30
839,1679,6167中信松江,564.0,1000,0
839,1680,6167中信松江,565.0,15,200
840,1681,6167中信松江,570.0,15,0
840,1682,6168中信嘉義,562.0,1000,0
841,1683,6168中信嘉義,563.0,100,0
841,1684,6168中信嘉義,564.0,50,0
842,1685,6168中信嘉義,565.0,100,200
842,1686,616A中信中壢,559.0,1000,1000
843,1687,616A中信中壢,560.0,1200,2000
843,1688,616A中信中壢,561.0,200,0
844,1689,616A中信中壢,562.0,230,0
844,1690,616A中信中壢,563.0,150,0
845,1691,616A中信中壢,565.0,1000,0
845,1692,616A中信中壢,566.0,100,0
846,1693,616A中信中壢,572.0,18,0
846,1694,616K中信託高,558.0,2000,0
847,1695,616K中信託高,561.0,0,2000
847,1696,616K中信託高,562.0,1000,1000
848,1697,616K中信託高,563.0,2100,0
848,1698,616K中信託高,564.0,0,350
849,1699,616K中信託高,566.0,8000,0
849,1700,616K中信託高,570.0,1000,1000
850,1701,6210新 百 王,560.0,16000,0
850,1702,6210新 百 王,561.0,30,0
851,1703,6210新 百 王,562.0,3000,5
851,1704,6210新 百 王,563.0,1000,0
852,1705,6210新 百 王,564.0,0,2100
852,1706,6210新 百 王,565.0,1011,0
853,1707,6210新 百 王,567.0,0,2000
853,1708,6210新 百 王,571.0,1000,0
854,1709,6210新 百 王,573.0,0,1000
854,1710,6380光    和,561.0,10,0
855,1711,6380光    和,563.0,2000,0
855,1712,6380光    和,564.0,1000,1000
856,1713,6380光    和,566.0,0,1000
856,1714,6381光和溪湖,563.0,25,0
857,1715,6382光和田中,561.0,1000,0
857,1716,6382光和田中,564.0,0,1000
858,1717,6382光和田中,567.0,0,1000
858,1718,6383光和和美,558.0,1000,0
859,1719,6383光和和美,560.0,0,1000
859,1720,6383光和和美,561.0,1000,0
860,1721,6383光和和美,563.0,1000,0
860,1722,6383光和和美,572.0,0,1000
861,1723,6383光和和美,573.0,0,1000
861,1724,6385光和花壇,560.0,5000,0
862,1725,6385光和花壇,561.0,2000,0
862,1726,6385光和花壇,563.0,1000,0
863,1727,638A光和嘉義,560.0,3000,1000
863,1728,638A光和嘉義,561.0,1000,0
864,1729,638A光和嘉義,562.0,0,1000
864,1730,638A光和嘉義,568.0,0,2000
865,1731,638A光和嘉義,570.0,1000,0
865,1732,638A光和嘉義,573.0,0,1000
866,1733,6450永    全,560.0,1000,4000
866,1734,6450永    全,563.0,1000,1000
867,1735,6450永    全,564.0,1000,0
867,1736,6450永    全,572.0,0,1000
868,1737,6451永全南崁,560.0,1000,0
868,1738,6451永全南崁,561.0,0,1000
869,1739,6451永全南崁,563.0,1000,0
869,1740,6451永全南崁,574.0,1000,0
870,1741,6452永全八德,562.0,1000,0
870,1742,6460大    昌,560.0,10000,4000
871,1743,6460大    昌,561.0,2035,10000
871,1744,6460大    昌,562.0,2010,10000
872,1745,6460大    昌,563.0,0,3000
872,1746,6460大    昌,564.0,3000,1000
873,1747,6460大    昌,565.0,13000,11000
873,1748,6460大    昌,566.0,10000,0
874,1749,6460大    昌,567.0,2000,0
874,1750,6460大    昌,568.0,100,0
875,1751,6460大    昌,569.0,1000,0
875,1752,6460大    昌,573.0,0,10
876,1753,6461大昌樹林,560.0,3100,0
876,1754,6461大昌樹林,561.0,2000,0
877,1755,6461大昌樹林,562.0,1000,5000
877,1756,6461大昌樹林,564.0,1000,0
878,1757,6461大昌樹林,565.0,1100,1000
878,1758,6462大昌安康,560.0,1000,0
879,1759,6462大昌安康,561.0,0,1000
879,1760,6462大昌安康,562.0,1000,0
880,1761,6462大昌安康,563.0,1000,0
880,1762,6462大昌安康,564.0,30,1000
881,1763,6462大昌安康,566.0,1000,0
881,1764,6462大昌安康,567.0,0,1000
882,1765,6462大昌安康,568.0,1000,0
882,1766,6462大昌安康,569.0,0,1000
883,1767,6462大昌安康,573.0,0,1000
883,1768,6463大昌新竹,558.0,0,1000
884,1769,6463大昌新竹,560.0,2000,0
884,1770,6463大昌新竹,562.0,150,0
885,1771,6463大昌新竹,564.0,100,0
885,1772,6463大昌新竹,565.0,1100,0
886,1773,6464大昌新店,557.0,1000,0
886,1774,6464大昌新店,558.0,1000,0
887,1775,6464大昌新店,559.0,0,3000
887,1776,6464大昌新店,560.0,2000,0
888,1777,6464大昌新店,562.0,3000,0
888,1778,6464大昌新店,563.0,2000,1200
889,1779,6464大昌新店,564.0,2000,0
889,1780,6464大昌新店,565.0,0,2000
890,1781,6464大昌新店,566.0,1000,0
890,1782,6464大昌新店,567.0,1000,0
891,1783,6464大昌新店,568.0,0,1000
891,1784,6464大昌新店,569.0,0,1000
892,1785,6464大昌新店,572.0,0,20
892,1786,6465大昌桃園,560.0,2000,0
893,1787,6465大昌桃園,561.0,0,2000
893,1788,6465大昌桃園,562.0,1000,0
894,1789,6465大昌桃園,563.0,50,0
894,1790,6480福    邦,559.0,0,1000
895,1791,6480福    邦,561.0,200,0
895,1792,6480福    邦,564.0,1000,0
896,1793,6480福    邦,565.0,1000,0
896,1794,6489福邦新竹,561.0,1000,0
897,1795,6489福邦新竹,563.0,2000,0
897,1796,6489福邦新竹,566.0,1000,0
898,1797,6910德    信,560.0,0,1000
898,1798,6910德    信,562.0,0,2000
899,1799,6910德    信,571.0,1000,0
899,1800,6910德    信,574.0,2000,0
900,1801,6912德信中正,560.0,2000,0
900,1802,6912德信中正,563.0,2000,0
901,1803,6912德信中正,564.0,1000,0
901,1804,6912德信中正,566.0,0,1000
902,1805,6912德信中正,568.0,0,2000
902,1806,6913德信新營,560.0,1000,0
903,1807,6913德信新營,564.0,30,0
903,1808,6913德信新營,566.0,1000,1000
904,1809,6915德信和平,563.0,1000,0
904,1810,6915德信和平,564.0,3100,0
905,1811,6950福    勝,559.0,2000,0
905,1812,6950福    勝,560.0,2000,0
906,1813,6950福    勝,561.0,1000,0
906,1814,6950福    勝,562.0,0,65000
907,1815,6950福    勝,563.0,2000,0
907,1816,6950福    勝,564.0,1000,0
908,1817,6950福    勝,565.0,1000,20000
908,1818,6950福    勝,570.0,0,1000
909,1819,6950福    勝,573.0,0,1000
909,1820,7000兆豐,558.0,2000,1000
910,1821,7000兆豐,560.0,1000,28000
910,1822,7000兆豐,561.0,1002,4000
911,1823,7000兆豐,562.0,1000,12000
911,1824,7000兆豐,563.0,0,10000
912,1825,7000兆豐,564.0,0,14000
912,1826,7000兆豐,565.0,0,11000
913,1827,7000兆豐,566.0,2000,0
913,1828,7000兆豐,567.0,3000,0
914,1829,7000兆豐,568.0,2,6000
914,1830,7000兆豐,569.0,0,1000
915,1831,7000兆豐,570.0,9000,0
915,1832,7000兆豐,571.0,9000,0
916,1833,7000兆豐,572.0,0,1000
916,1834,7000兆豐,573.0,0,2000
917,1835,7000兆豐,574.0,0,4000
917,1836,7001兆豐嘉義,559.0,0,5000
918,1837,7001兆豐嘉義,564.0,2000,0
918,1838,7001兆豐嘉義,571.0,0,50
919,1839,7003兆豐台中,559.0,1000,0
919,1840,7003兆豐台中,560.0,7050,0
920,1841,7003兆豐台中,561.0,4000,2000
920,1842,7003兆豐台中,562.0,2000,0
921,1843,7003兆豐台中,563.0,120,1000
921,1844,7003兆豐台中,564.0,2000,1000
922,1845,7003兆豐台中,565.0,6,0
922,1846,7003兆豐台中,566.0,100,1000
923,1847,7003兆豐台中,567.0,0,1000
923,1848,7003兆豐台中,568.0,0,1000
924,1849,7005兆豐中港,560.0,2000,4000
924,1850,7005兆豐中港,561.0,1000,0
925,1851,7005兆豐中港,562.0,3000,0
925,1852,7005兆豐中港,563.0,2101,0
926,1853,7005兆豐中港,564.0,2130,100
926,1854,7005兆豐中港,566.0,5,0
927,1855,7005兆豐中港,568.0,1000,0
927,1856,7005兆豐中港,570.0,1000,0
928,1857,7005兆豐中港,573.0,0,1000
928,1858,7006兆豐台南,560.0,1000,1000
929,1859,7006兆豐台南,562.0,20,0
929,1860,7006兆豐台南,563.0,1020,1000
930,1861,7006兆豐台南,565.0,1000,0
930,1862,7006兆豐台南,566.0,1000,0
931,1863,7006兆豐台南,570.0,1000,0
931,1864,7006兆豐台南,571.0,0,1000
932,1865,7007兆豐竹北,561.0,0,1000
932,1866,7007兆豐竹北,562.0,1000,0
933,1867,7007兆豐竹北,563.0,0,1000
933,1868,7007兆豐竹北,566.0,0,10000
934,1869,7007兆豐竹北,572.0,1000,0
934,1870,7007兆豐竹北,573.0,0,1000
935,1871,7008兆豐三重,561.0,200,0
935,1872,7008兆豐三重,562.0,1000,0
936,1873,7009兆豐景美,560.0,0,1000
936,1874,7009兆豐景美,561.0,1000,0
937,1875,7009兆豐景美,563.0,1050,1000
937,1876,7009兆豐景美,564.0,1000,4000
938,1877,7009兆豐景美,570.0,1000,0
938,1878,700a兆豐忠孝,560.0,2000,1000
939,1879,700a兆豐忠孝,563.0,1000,1000
939,1880,700a兆豐忠孝,564.0,0,150
940,1881,700a兆豐忠孝,565.0,0,1000
940,1882,700a兆豐忠孝,568.0,1000,0
941,1883,700a兆豐忠孝,570.0,1000,0
941,1884,700b兆豐中壢,560.0,2000,0
942,1885,700b兆豐中壢,565.0,100,0
942,1886,700B兆豐板橋,560.0,0,1000
943,1887,700B兆豐板橋,562.0,1000,0
943,1888,700B兆豐板橋,563.0,70,0
944,1889,700B兆豐板橋,566.0,1000,0
944,1890,700c兆豐民生,562.0,1000,0
945,1891,700c兆豐民生,563.0,5,1000
945,1892,700c兆豐民生,565.0,2070,0
946,1893,700C兆豐來福,560.0,1000,1000
946,1894,700C兆豐來福,562.0,1020,0
947,1895,700C兆豐來福,563.0,300,100
947,1896,700C兆豐來福,565.0,0,1025
948,1897,700C兆豐來福,573.0,0,1000
948,1898,700D兆豐西螺,560.0,20,0
949,1899,700D兆豐西螺,564.0,1000,0
949,1900,700E兆豐斗南,560.0,0,1000
950,1901,700E兆豐斗南,562.0,1000,0
950,1902,700E兆豐斗南,564.0,1000,0
951,1903,700E兆豐斗南,565.0,1000,1000
951,1904,700E兆豐斗南,566.0,40,0
952,1905,700E兆豐斗南,573.0,0,1000
952,1906,700f兆豐鹿港,560.0,2050,0
953,1907,700f兆豐鹿港,561.0,0,1000
953,1908,700f兆豐鹿港,562.0,0,1000
954,1909,700f兆豐鹿港,563.0,1000,0
954,1910,700f兆豐鹿港,565.0,2,0
955,1911,700F兆豐虎尾,561.0,0,20
955,1912,700F兆豐虎尾,562.0,2000,1000
956,1913,700F兆豐虎尾,565.0,1000,0
956,1914,700F兆豐虎尾,573.0,1000,0
957,1915,700g兆豐南門,564.0,1000,0
957,1916,700G兆豐麻豆,560.0,8000,0
958,1917,700G兆豐麻豆,562.0,3000,2000
958,1918,700G兆豐麻豆,569.0,0,1000
959,1919,700h兆豐三民,562.0,0,1000
959,1920,700h兆豐三民,563.0,2000,0
960,1921,700h兆豐三民,564.0,0,20
960,1922,700h兆豐三民,566.0,1000,0
961,1923,700h兆豐三民,571.0,10,0
961,1924,700H兆豐東門,558.0,1000,0
962,1925,700H兆豐東門,560.0,0,3000
962,1926,700H兆豐東門,561.0,0,2000
963,1927,700H兆豐東門,562.0,4000,4000
963,1928,700H兆豐東門,563.0,1000,1000
964,1929,700H兆豐東門,565.0,1000,1000
964,1930,700H兆豐東門,568.0,0,3000
965,1931,700H兆豐東門,569.0,0,1000
965,1932,700i兆豐松德,562.0,5000,0
966,1933,700i兆豐松德,563.0,50,0
966,1934,700i兆豐松德,564.0,200,0
967,1935,700i兆豐松德,565.0,50,5000
967,1936,700i兆豐松德,571.0,100,0
968,1937,700I兆豐北高,560.0,2000,1000
968,1938,700I兆豐北高,561.0,1030,1000
